mysql> SELECT AccountId AS "Account ID",
    -> createdOn AS "creation date",
    -> modifiedOn AS "modification date",
    -> DATEDIFF(modifiedOn, createdOn) AS "Days between"                                                                                                  
    -> FROM AddressBook
    -> LIMIT 100;
+------------+---------------------+---------------------+--------------+
| Account ID | creation date       | modification date   | Days between |
|         19 | 2014-10-12 01:24:53 | 2016-06-09 03:54:28 |          606 |
|         63 | 2016-01-12 21:10:41 | 2014-11-06 23:30:12 |         -432 |
|          9 | 2016-06-20 07:10:26 | 2015-01-10 21:56:18 |         -527 |
|         42 | 2015-04-18 13:48:45 | 2015-12-17 22:51:52 |          243 |
|         13 | 2016-01-17 23:38:00 | 2015-08-16 03:59:11 |         -154 |
|         89 | 2015-05-11 05:27:27 | 2016-04-14 17:41:19 |          339 |
|         25 | 2016-09-12 17:48:28 | 2015-11-16 09:36:32 |         -301 |
|         38 | 2016-08-26 22:24:55 | 2016-01-02 04:28:04 |         -237 |
|         98 | 2014-10-10 09:11:10 | 2014-11-29 07:12:43 |           50 |
|         14 | 2015-08-24 01:30:14 | 2015-07-12 09:39:12 |          -43 |
|          3 | 2015-09-08 00:26:17 | 2016-01-11 13:40:49 |          125 |
|         42 | 2014-10-15 23:39:00 | 2015-12-24 17:17:55 |          435 |
|          9 | 2016-07-15 18:51:10 | 2015-06-30 03:07:10 |         -381 |
|         22 | 2015-08-20 03:43:12 | 2014-12-10 04:20:28 |         -253 |
|         79 | 2015-09-30 00:22:28 | 2015-04-17 07:02:52 |         -166 |
|         38 | 2015-12-08 01:19:33 | 2016-05-28 01:14:31 |          172 |
|         10 | 2014-09-28 10:50:36 | 2015-01-18 00:09:03 |          112 |
|         72 | 2015-04-26 13:56:50 | 2015-11-16 08:39:45 |          204 |
|         58 | 2016-04-20 09:14:11 | 2016-09-05 21:29:32 |          138 |
|         50 | 2015-02-18 18:58:34 | 2016-07-18 23:08:35 |          516 |
|         26 | 2015-01-01 18:10:42 | 2015-09-24 04:13:48 |          266 |
|         10 | 2016-08-12 11:48:01 | 2014-12-19 02:23:55 |         -602 |
|         13 | 2016-02-02 15:34:29 | 2016-03-06 15:38:36 |           33 |
|          4 | 2015-07-26 08:06:41 | 2015-11-07 20:05:20 |          104 |
|         18 | 2016-05-20 00:58:56 | 2016-06-15 12:21:23 |           26 |
|          7 | 2015-01-30 13:12:38 | 2015-09-13 09:35:58 |          226 |
|         60 | 2015-06-15 23:54:00 | 2015-12-08 05:42:15 |          176 |
|         63 | 2016-08-05 22:34:19 | 2015-01-02 01:24:20 |         -581 |
|         82 | 2016-05-05 21:21:53 | 2016-09-11 13:04:06 |          129 |
|         48 | 2014-10-02 09:40:25 | 2016-06-18 09:03:40 |          625 |
|         97 | 2015-03-16 05:41:17 | 2015-01-07 17:15:29 |          -68 |
|          2 | 2015-11-30 03:35:37 | 2016-08-26 15:48:06 |          270 |
|         12 | 2016-09-12 12:26:33 | 2015-08-29 20:58:28 |         -380 |
|         27 | 2016-06-30 05:53:40 | 2015-08-18 07:36:38 |         -317 |
|         65 | 2015-09-04 22:31:20 | 2016-06-28 06:18:52 |          298 |
|         59 | 2015-01-10 00:11:45 | 2015-03-25 19:54:11 |           74 |
|         62 | 2014-09-19 01:58:58 | 2016-03-20 04:10:42 |          548 |
|         23 | 2014-12-23 22:19:43 | 2016-07-11 01:41:06 |          566 |
|         46 | 2015-10-06 08:45:26 | 2016-01-13 14:04:22 |           99 |
|         36 | 2015-07-03 05:56:48 | 2016-02-24 12:24:00 |          236 |
|         78 | 2015-04-07 15:49:23 | 2016-05-09 03:03:57 |          398 |
|         26 | 2015-09-16 23:17:20 | 2016-04-21 01:57:33 |          218 |
|         55 | 2016-01-14 03:48:24 | 2014-10-19 06:52:51 |         -452 |
|          4 | 2016-04-28 00:20:55 | 2015-03-16 11:39:09 |         -409 |
|         56 | 2016-01-22 14:44:20 | 2014-11-18 06:21:42 |         -430 |
|         53 | 2014-11-11 02:43:01 | 2014-11-19 19:39:15 |            8 |
|         34 | 2016-07-16 14:04:53 | 2015-06-08 18:04:23 |         -404 |
|         92 | 2016-06-15 10:28:20 | 2015-04-18 10:32:31 |         -424 |
|         69 | 2016-03-10 23:49:35 | 2014-09-29 12:57:43 |         -528 |
+------------+---------------------+---------------------+--------------+
100 rows in set (0.00 sec)
